train_pct,set,x,y,y_hat
10,train,4.5,61111,71733.66666666667
10,train,6.0,93940,88628.66666666667
10,train,3.0,60150,54838.66666666667
10,test,9.6,112635,129176.66666666667
10,test,4.9,67938,76239.00000000001
10,test,8.2,113812,113408.0
10,test,5.3,83088,80744.33333333334
10,test,3.2,64445,57091.33333333334
10,test,3.7,57189,62723.00000000001
10,test,10.3,122391,137061.0
10,test,8.7,109431,119039.66666666667
10,test,4.0,56957,66102.0
10,test,1.1,39343,33438.33333333334
10,test,2.2,39891,45828.00000000001
10,test,5.1,66029,78491.66666666667
10,test,2.9,56642,53712.33333333334
10,test,4.1,57081,67228.33333333334
10,test,4.0,55794,66102.0
10,test,7.9,101302,110029.00000000001
10,test,1.3,46205,35691.00000000001
10,test,1.5,37731,37943.66666666667
10,test,9.0,105582,122418.66666666667
10,test,2.0,43525,43575.33333333334
10,test,7.1,98273,101018.33333333334
10,test,9.5,116969,128050.33333333334
10,test,5.9,81363,87502.33333333334
10,test,10.5,121872,139313.6666666667
10,test,6.8,91738,97639.33333333334
10,test,3.2,54445,57091.33333333334
10,test,3.9,63218,64975.66666666667
20,train,6.8,91738,94335.40321670429
20,train,3.2,54445,56344.54430022573
20,train,3.9,63218,63731.65575620767
20,train,4.5,61111,70063.46557562076
20,train,6.0,93940,85892.9901241535
20,train,3.0,60150,54233.94102708803
20,test,9.6,112635,123883.84904063206
20,test,4.9,67938,74284.67212189618
20,test,8.2,113812,109109.62612866817
20,test,5.3,83088,78505.87866817156
20,test,3.2,64445,56344.54430022573
20,test,3.7,57189,61621.05248306998
20,test,10.3,122391,131270.960496614
20,test,8.7,109431,114386.13431151242
20,test,4.0,56957,64786.95739277652
20,test,1.1,39343,34183.209932279904
20,test,2.2,39891,45791.52793453724
20,test,5.1,66029,76395.27539503385
20,test,2.9,56642,53178.63939051918
20,test,4.1,57081,65842.25902934537
20,test,4.0,55794,64786.95739277652
20,test,7.9,101302,105943.72121896164
20,test,1.3,46205,36293.8132054176
20,test,1.5,37731,38404.4164785553
20,test,9.0,105582,117552.03922121896
20,test,2.0,43525,43680.92466139955
20,test,7.1,98273,97501.30812641083
20,test,9.5,116969,122828.54740406321
20,test,5.9,81363,84837.68848758466
20,test,10.5,121872,133381.5637697517
30,train,9.5,116969,115861.39873566829
30,train,5.9,81363,82550.60000785299
30,train,10.5,121872,125114.39838228366
30,train,6.8,91738,90878.29968980681
30,train,3.2,54445,57567.50096199151
30,train,3.9,63218,64044.60071462226
30,train,4.5,61111,69596.40050259148
30,train,6.0,93940,83475.89997251453
30,train,3.0,60150,55716.90103266844
30,test,9.6,112635,116786.69870032983
30,test,4.9,67938,73297.60036123762
30,test,8.2,113812,103832.49919506832
30,test,5.3,83088,76998.80021988376
30,test,3.2,64445,57567.50096199151
30,test,3.7,57189,62194.00078529919
30,test,10.3,122391,123263.79845296059
30,test,8.7,109431,108458.999018376
30,test,4.0,56957,64969.9006792838
30,test,1.1,39343,38136.20170409925
30,test,2.2,39891,48314.50131537615
30,test,5.1,66029,75148.2002905607
30,test,2.9,56642,54791.6010680069
30,test,4.1,57081,65895.20064394534
30,test,4.0,55794,64969.9006792838
30,test,7.9,101302,101056.59930108371
30,test,1.3,46205,39986.80163342232
30,test,1.5,37731,41837.40156274539
30,test,9.0,105582,111234.89891236062
30,test,2.0,43525,46463.90138605307
30,test,7.1,98273,93654.19958379141
40,train,9.0,105582,110891.99335989376
40,train,2.0,43525,46148.128818061086
40,train,7.1,98273,93318.65869853918
40,train,9.5,116969,115516.55511288182
40,train,5.9,81363,82219.71049136788
40,train,10.5,121872,124765.67861885791
40,train,6.8,91738,90543.92164674634
40,train,3.2,54445,57247.07702523241
40,train,3.9,63218,63721.463479415674
40,train,4.5,61111,69270.93758300133
40,train,6.0,93940,83144.62284196548
40,train,3.0,60150,55397.25232403719
40,test,9.6,112635,116441.46746347942
40,test,4.9,67938,72970.58698539177
40,test,8.2,113812,103492.69455511289
40,test,5.3,83088,76670.2363877822
40,test,3.2,64445,57247.07702523241
40,test,3.7,57189,61871.638778220455
40,test,10.3,122391,122915.8539176627
40,test,8.7,109431,108117.25630810093
40,test,4.0,56957,64646.37583001328
40,test,1.1,39343,37823.91766268261
40,test,2.2,39891,47997.95351925631
40,test,5.1,66029,74820.41168658699
40,test,2.9,56642,54472.33997343958
40,test,4.1,57081,65571.28818061089
40,test,4.0,55794,64646.37583001328
40,test,7.9,101302,100717.95750332007
40,test,1.3,46205,39673.74236387783
40,test,1.5,37731,41523.567065073046
50,train,7.9,101302,100729.78951084107
50,train,1.3,46205,40255.867489597484
50,train,1.5,37731,42088.41058115032
50,train,9.0,105582,110808.77651438167
50,train,2.0,43525,46669.76831003241
50,train,7.1,98273,93399.61714462974
50,train,9.5,116969,115390.13424326378
50,train,5.9,81363,82404.35859531272
50,train,10.5,121872,124552.84970102794
50,train,6.8,91738,90650.80250730048
50,train,3.2,54445,57665.026859349426
50,train,3.9,63218,64078.92767978435
50,train,4.5,61111,69576.55695444286
50,train,6.0,93940,83320.63014108913
50,train,3.0,60150,55832.483767796584
50,test,9.6,112635,116306.40578904017
50,test,4.9,67938,73241.64313754853
50,test,8.2,113812,103478.60414817033
50,test,5.3,83088,76906.72932065421
50,test,3.2,64445,57665.026859349426
50,test,3.7,57189,62246.384588231514
50,test,10.3,122391,122720.30660947511
50,test,8.7,109431,108059.96187705241
50,test,4.0,56957,64995.19922556077
50,test,1.1,39343,38423.32439804464
50,test,2.2,39891,48502.31140158525
50,test,5.1,66029,75074.18622910137
50,test,2.9,56642,54916.21222202017
50,test,4.1,57081,65911.47077133719
50,test,4.0,55794,64995.19922556077
60,train,2.9,56642,53732.74863392521
60,train,4.1,57081,64874.60265610652
60,train,4.0,55794,63946.11482092475
60,train,7.9,101302,100157.14039301402
60,train,1.3,46205,38876.94327101679
60,train,1.5,37731,40733.91894138034
60,train,9.0,105582,110370.50658001356
60,train,2.0,43525,45376.35811728922
60,train,7.1,98273,92729.2377115598
60,train,9.5,116969,115012.94575592244
60,train,5.9,81363,81587.3836893785
60,train,10.5,121872,124297.8241077402
60,train,6.8,91738,89943.77420601448
60,train,3.2,54445,56518.21213947054
60,train,3.9,63218,63017.62698574297
60,train,4.5,61111,68588.55399683362
60,train,6.0,93940,82515.87152456027
60,train,3.0,60150,54661.23646910698
60,test,9.6,112635,115941.43359110421
60,test,4.9,67938,72302.50533756074
60,test,8.2,113812,102942.60389855935
60,test,5.3,83088,76016.45667828784
60,test,3.2,64445,56518.21213947054
60,test,3.7,57189,61160.65131537942
60,test,10.3,122391,122440.84843737666
60,test,8.7,109431,107585.04307446822
60,test,4.0,56957,63946.11482092475
60,test,1.1,39343,37019.96760065324
60,test,2.2,39891,47233.33378765278
60,test,5.1,66029,74159.48100792427
70,train,1.1,39343,36191.42823108992
70,train,2.2,39891,46464.41812728664
70,train,5.1,66029,73547.7551263507
70,train,2.9,56642,53001.775333957274
70,train,4.1,57081,64208.67340253551
70,train,4.0,55794,63274.76523015399
70,train,7.9,101302,99697.18395303327
70,train,1.3,46205,38059.24457585296
70,train,1.5,37731,39927.060920616
70,train,9.0,105582,109970.17384922998
70,train,2.0,43525,44596.6017825236
70,train,7.1,98273,92225.91857398111
70,train,9.5,116969,114639.71471113758
70,train,5.9,81363,81019.02050540288
70,train,10.5,121872,123978.79643495278
70,train,6.8,91738,89424.19405683654
70,train,3.2,54445,55803.499851101835
70,train,3.9,63218,62340.857057772475
70,train,4.5,61111,67944.3060920616
70,train,6.0,93940,81952.9286777844
70,train,3.0,60150,53935.6835063388
70,test,9.6,112635,115573.6228835191
70,test,4.9,67938,71679.93878158767
70,test,8.2,113812,102498.90847017782
70,test,5.3,83088,75415.57147111374
70,test,3.2,64445,55803.499851101835
70,test,3.7,57189,60473.04071300943
70,test,10.3,122391,122110.98009018974
70,test,8.7,109431,107168.44933208541
70,test,4.0,56957,63274.76523015399
80,train,10.3,122391,122386.88083899589
80,train,8.7,109431,107308.7763221463
80,train,4.0,56957,63016.84430390072
80,train,1.1,39343,35687.77986711089
